id,name,short_title,title,is_ordered,is_system,is_hidden,trend_by,is_signed,has_percent,type,precision,is_linked
2707,TRADEDATE,Дата торгов,Дата торгов,1,0,0,,0,0,date,,0
2705,SECID,Код инструмента,Идентификатор финансового инструмента,0,0,0,,0,0,string,,0
855,BOARDNAME,Режим торгов,Режим торгов,1,0,0,,0,0,string,,0
2706,BOARDID,Код режима,Идентификатор режима торгов,0,0,0,,0,0,string,,0
850,SHORTNAME,Кратк. наим.,Краткое наименование,1,0,0,,0,0,string,,1
853,REGNUMBER,Код гос. регистрации,Код гос. регистрации,1,0,0,,0,0,string,,0
3314,ISIN,Код ISIN,Код ISIN,1,0,0,,0,0,string,,0
3315,LISTNAME,Уровень листинга,Уровень листинга,0,0,0,,0,0,string,,0
2704,FACEVALUE,Номинал,Номинальная стоимость,0,0,0,,0,0,number,,0
2701,CURRENCYID,Валюта,Валюта в которой ведутся торги,0,0,0,,0,0,string,,0
2697,PREVLEGALCLOSEPRICE,"Закр. пред. дня, руб.",Цена закрытия предыдущего торгового дня рублей,0,0,0,,0,0,number,,0
2700,PREV,"Пред. дня, руб","Цена последней сделки предыдущего торгового дня, рублей",0,0,0,,0,0,number,,0
2692,LEGALOPENPRICE,Открытия,Цена открытия,0,0,0,,0,0,number,,0
2698,OPENPERIOD,Цена предторг. пер.,Цена предторгового периода,0,0,0,,0,0,number,,0
2696,OPEN,Первая,Цена предторгового периода/Цена аукциона открытия,0,0,0,,0,0,number,,0
2693,LOW,Минимум,Цена сделки минимальная,0,0,0,,0,0,number,,0
2694,HIGH,Максимум,Цена сделки максимальная,0,0,0,,0,0,number,,0
2691,CLOSE,Последняя,Цена последней сделки,0,0,0,,0,0,number,,0
2690,CLOSEPERIOD,Цена послеторг. пер.,Цена послеторгового периода,0,0,0,,0,0,number,,0
2683,OPENVAL,Объем первой,Объем первой сделки,0,0,0,,0,0,number,,0
2684,CLOSEVAL,Объем последней,Объем последней сделки,0,0,0,,0,0,number,,0
2695,LEGALCLOSEPRICE,Закрытия,Цена закрытия,0,0,0,,0,0,number,,0
2688,TRENDCLOSE,"Изм. посл., пункт.","Изменение цены последней сделки к цене последней сделки предыдущего торгового дня, пунктов",0,0,0,,0,0,number,,0
2687,TRENDCLSPR,"Изм. посл., %","Изменение цены последней сделки к цене последней сделки предыдущего торгового дня, процентов",0,0,0,,0,0,number,2.0,0
2681,HIGHBID,"Котировки за день, руб. - наиб. цена спроса","Наибольшая цена спроса (максимальная котировка на покупку), рублей",0,0,0,,0,0,number,,0
2680,BID,"Последние котировки, руб. - цена спроса","Цена спроса (котировка на покупку) на момент окончания торговой сессии, рублей",0,0,0,,0,0,number,,0
2679,OFFER,"Последние котировки, руб. - цена предл.","Цена предложения (котировка на продажу) на момент окончания торговой сессии, рублей",0,0,0,,0,0,number,,0
2682,LOWOFFER,"Котировки за день, руб. - наим. цена предл.","Наименьшая цена предложения (минимальная котировка на продажу), рублей",0,0,0,,0,0,number,,0
2689,WAPRICE,Срвзв.цена,Средневзвешенная цена,0,0,0,,0,0,number,,0
2686,TRENDWAP,"Изм. ср. вз., руб.","Изменение средневзвешенной цены к средневзвешенной цене предыдущего торгового дня, пунктов",0,0,0,,0,0,number,,0
2685,TRENDWAPPR,"Изм. ср. вз., %","Изменение средневзвешенной цены к средневзвешенной цене предыдущего торгового дня, процентов",0,0,0,,0,0,number,2.0,0
2702,VOLUME,"Объем, шт.","Объем сделок за день, штук ценных бумаг",0,0,0,,0,0,number,0.0,0
2678,MARKETPRICE,"Рыночная (1), руб. ","Рыночная цена (1), рублей",0,0,0,,0,0,number,,0
2677,MARKETPRICE2,"Рыночная (2), руб ","Рыночная цена (2), рублей",0,0,0,,0,0,number,,0
2675,MP2VALTRD,Объем рыночной 2,"Объем сделок для расчета рыночной цены (2), рублей",0,0,0,,0,0,number,2.0,0
2674,MPVALTRD,Объем рыночной 1,"Объем сделок для расчета рыночной цены (1), рублей",0,0,0,,0,0,number,2.0,0
2703,VALUE,Объем,Объем сделок за день,1,0,0,,0,0,number,2.0,0
2699,NUMTRADES,"Сделок, шт.","Количество сделок за день, штук",1,0,0,,0,0,number,0.0,0
2672,ISSUESIZE,"Объем выпуска, шт","Объем выпуска, штук ценных бумаг",0,0,0,,0,0,number,0.0,0
2676,ADMITTEDQUOTE,Призн. котир. (Устарело),Признаваемая котировка. (Не рассчитывается с 2023-01-30),0,0,0,,0,0,number,,0
2673,ADMITTEDVALUE,Объем призн. котир. (Устарело),"Объем сделок для расчета признаваемой котировки, рублей (Не рассчитывается с 2023-01-30)",0,0,0,,0,0,number,2.0,0
2671,MONTHLYCAPITALIZATION,"Ежемесячная капитализация, руб","Ежемесячная рыночная капитализация, руб",0,0,0,,0,0,number,2.0,0
2670,DAILYCAPITALIZATION,"Капитализация, руб","Ежедневная капитализация, руб",0,0,0,,0,0,number,2.0,0
3206,MARKETPRICE3,"Рыночная (3), руб","Рыночная цена (3), рублей",0,0,0,,0,0,number,,0
3212,MARKETPRICE3TRADESVALUE,"Объем сделок рыночной (3), руб","Объем сделок для расчета рыночной цены (3), рублей",0,0,0,,0,0,number,,0
2669,DECIMALS,Точность,"Точность, знаков после запятой",0,0,0,,0,0,number,0.0,0
3317,TYPE,Тип бумаги,Тип бумаги,0,0,0,,0,0,string,,0
3318,CLOSEAUCTIONPRICE,"Послеторговая, руб","Цена послеторгового аукциона, рублей",0,0,0,,0,0,number,,0
4034,WAVAL,3-х месячный среднедневной оборот,3-х месячный среднедневной оборот по сделкам с паями,0,0,0,,0,0,number,,0
5381,LASTPRICE,"Последняя (без послеторгового периода/АЗ), руб.","Цена последней сделки (без учета послеторгового периода или аукциона закрытия), рублей",0,0,0,,0,0,number,,0
5980,MARKETPRICE3TRADESVALUECUR,"Объем сделок рыночной (3), в валюте торгов","Объем сделок для расчета рыночной цены (3), в валюте торгов",0,0,0,,0,0,number,,0
5981,MARKETPRICE3CUR,"Рыночная (3), в валюте торгов","Рыночная цена (3), в валюте торгов",0,0,0,,0,0,number,,0
6769,TRADINGSESSION,Сессия,Номер торговой сессии,0,0,0,,0,0,number,0.0,0
