BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2023-01-03,МосБиржа,MOEX,9115,127630057.1,95.4,94.9,96.15,95.56,95.45,95.55,1337090,95.43,95.43,95.56,112029779.3,112029779.3,112029779.3,0,3,SUR,0.16
TQBR,2023-01-04,МосБиржа,MOEX,9243,109179757.9,95.55,95.0,95.96,95.17,95.35,95.8,1145050,95.26,95.26,95.17,82579412.6,82579412.6,82579412.6,0,3,SUR,0.26
TQBR,2023-01-05,МосБиржа,MOEX,7763,112308603.9,95.96,95.0,96.18,95.89,95.66,95.79,1174080,95.6,95.6,95.89,85766580.7,85766580.7,85766580.7,0,3,SUR,-0.01
TQBR,2023-01-06,МосБиржа,MOEX,12896,249219886.9,95.8,95.02,96.4,95.3,95.61,95.19,2606720,95.67,95.67,95.3,210310937.4,210310937.4,210310937.4,0,3,SUR,-0.63
TQBR,2023-01-09,МосБиржа,MOEX,10292,187281212.0,95.0,95.0,95.79,95.71,95.49,95.53,1961240,95.48,95.48,95.71,163159719.0,163159719.0,163159719.0,0,3,SUR,0.36
TQBR,2023-01-10,МосБиржа,MOEX,12565,238134482.8,95.5,94.4,95.56,94.88,94.88,94.92,2509940,94.88,94.88,94.88,208531026.2,208531026.2,208531026.2,0,3,SUR,-0.64
TQBR,2023-01-11,МосБиржа,MOEX,24774,604950465.9,95.15,94.81,98.8,97.6,97.15,98.59,6226870,96.85,96.85,97.6,469331254.7,469331254.7,469331254.7,0,3,SUR,3.87
TQBR,2023-01-12,МосБиржа,MOEX,18061,379970399.7,98.59,97.55,99.65,97.89,98.49,98.25,3857990,98.51,98.51,97.89,346806445.7,346806445.7,346806445.7,0,3,SUR,-0.34
TQBR,2023-01-13,МосБиржа,MOEX,12071,232690328.3,98.55,97.72,99.41,98.89,98.69,98.98,2357940,98.65,98.65,98.89,201990286.5,201990286.5,201990286.5,0,3,SUR,0.74
TQBR,2023-01-16,МосБиржа,MOEX,41683,1162085372.3,99.35,99.02,105.32,104.42,103.02,105.06,11280370,102.63,102.63,,945007094.5,945007094.5,,0,3,SUR,6.14
TQBR,2023-01-17,МосБиржа,MOEX,30211,891115200.4,105.62,102.22,105.62,103.01,103.62,102.78,8599660,103.73,103.73,,803761479.9,803761479.9,,0,3,SUR,-2.17
TQBR,2023-01-18,МосБиржа,MOEX,16113,446053825.8,102.21,102.06,103.87,103.16,103.11,103.15,4326190,103.11,103.11,,404146772.2,404146772.2,,0,3,SUR,0.36
TQBR,2023-01-19,МосБиржа,MOEX,22378,523627069.6,102.79,99.64,103.24,100.01,101.14,100.25,5177420,101.39,101.39,,419341222.9,419341222.9,,0,3,SUR,-2.81
TQBR,2023-01-20,МосБиржа,MOEX,14779,399797294.4,100.25,99.42,101.2,101.04,100.49,101.19,3978550,100.37,100.37,,337689603.3,337689603.3,,0,3,SUR,0.94
TQBR,2023-01-23,МосБиржа,MOEX,36973,392536538.1,101.35,100.52,102.28,101.52,101.46,101.7,3869230,101.44,101.44,,370211600.5,370211600.5,,0,3,SUR,0.5
TQBR,2023-01-24,МосБиржа,MOEX,22197,552141012.6,101.99,101.56,104.4,102.95,103.06,102.5,5357730,103.15,103.15,,488850440.1,488850440.1,,0,3,SUR,0.79
TQBR,2023-01-25,МосБиржа,MOEX,11571,227086119.5,102.24,101.73,103.06,102.41,102.61,102.55,2213220,102.61,102.61,,202724895.7,202724895.7,,0,3,SUR,0.05
TQBR,2023-01-26,МосБиржа,MOEX,11574,221682933.6,102.95,102.65,104.2,103.21,103.2,103.92,2148140,103.13,103.13,,179370370.9,179370370.9,,0,3,SUR,1.34
TQBR,2023-01-27,МосБиржа,MOEX,14186,201407310.9,104.0,103.02,104.0,103.5,103.47,103.74,1946570,103.43,103.43,,167568710.0,167568710.0,,0,3,SUR,-0.17
TQBR,2023-01-30,МосБиржа,MOEX,11077,214678062.5,103.76,103.1,104.71,104.27,103.83,104.18,2067650,103.79,103.79,,193177130.9,193177130.9,,0,3,SUR,0.42
TQBR,2023-01-31,МосБиржа,MOEX,31297,818829707.1,104.24,104.24,108.4,108.12,106.91,107.35,7659240,106.68,106.68,,655703747.6,655703747.6,,0,3,SUR,3.04
